action_id,support,reference_correct,candidate_correct,reference_recall,candidate_recall,delta_recall,reference_f1,candidate_f1
A077,489,374,372,0.7648261758691206,0.7607361963190185,-0.00408997955010225,0.8183807439824945,0.8131147540983606
A078,488,354,353,0.7254098360655737,0.7233606557377049,-0.0020491803278688526,0.7797356828193832,0.7870680044593088
A079,488,423,418,0.8668032786885246,0.8565573770491803,-0.010245901639344262,0.8158148505303761,0.810077519379845
A080,490,483,482,0.9857142857142858,0.9836734693877551,-0.0020408163265306124,0.9669669669669669,0.966900702106319
A081,489,446,446,0.9120654396728016,0.9120654396728016,0.0,0.9214876033057852,0.9233954451345756
A082,491,402,398,0.8187372708757638,0.8105906313645621,-0.008146639511201629,0.8088531187122736,0.7991967871485943
A083,491,402,398,0.8187372708757638,0.8105906313645621,-0.008146639511201629,0.8553191489361702,0.8586839266450917
A084,489,338,339,0.6912065439672802,0.6932515337423313,0.002044989775051125,0.7268817204301076,0.7321814254859611
A085,489,439,435,0.8977505112474438,0.8895705521472392,-0.0081799591002045,0.8913705583756345,0.8886618998978549
A086,489,428,426,0.8752556237218814,0.8711656441717791,-0.00408997955010225,0.8585757271815446,0.8537074148296593
A087,491,464,464,0.945010183299389,0.945010183299389,0.0,0.957688338493292,0.9606625258799172
A088,492,475,474,0.9654471544715447,0.9634146341463414,-0.0020325203252032522,0.9615384615384616,0.9624365482233502
A089,491,415,407,0.845213849287169,0.8289205702647657,-0.016293279022403257,0.8792372881355932,0.8641188959660298
A090,492,459,458,0.9329268292682927,0.9308943089430894,-0.0020325203252032522,0.9089108910891089,0.9042448173741362
A091,490,405,400,0.826530612244898,0.8163265306122449,-0.01020408163265306,0.8273748723186926,0.8213552361396304
A092,482,458,455,0.950207468879668,0.9439834024896265,-0.006224066390041493,0.9472595656670114,0.9430051813471503
